ID,年度,遗址名,探方,单位,原编号,新号,位置,深度,种属,左右,部位,保存状况,愈合状况,件数,备注,M1长,M1宽,M2长,M2宽,M3长,M3宽,1,2,8,9,10,11,12,13,14,18,19,20
69,2000,HD,T31,M54,,XG15,腰坑内,,狗,右,桡骨,远端,,1,,,,,,,,,,,,,,,,,,,
70,2000,HD,T31,M54,,XG15,腰坑内,,狗,右,距骨,,,1,,"25,41","16,99",,,,,,,,,,,,,,,,
71,2000,HD,T31,M54,,XG15,腰坑内,,狗,,肋骨,,,11,,,,,,,,,,,,,,,,,,,
72,2000,HD,T31,M54,,XG15,腰坑内,,狗,,脊椎,,,25,,,,,,,,,,,,,,,,,,,
73,2000,HD,T31,M54,,XG15,腰坑内,,狗,,枢椎,,,1,,,,,,,,,,,,,,,,,,,
74,2000,HD,T31,M54,,XG15,腰坑内,,狗,,掌骨或跖骨,,,11,,,,,,,,,,,,,,,,,,,
75,2000,HD,T31,M54,,XG15,腰坑内,,狗,,第1节趾骨,,,1,,,,,,,,,,,,,,,,,,,
76,2000,HD,T31,M54,,XG15,腰坑内,,狗,一付,上颌骨,,,1,"左I2+I3+C+P2-P4，右I3+C+P2+P4+M1,头骨全长190.79,宽65.71",,,,,,,,,,,,,,,,,,
77,2000,HD,T31,M54,,XG15,腰坑内,,狗,一付,下颌骨,,,1,左I1-C+P3-M2，右C,,,,,,,"141,97","136,77",,,,,,,,"55,3",,
78,2000,HD,T31,M54,010,XG8,,深6.62米,狗,一付,肱骨,完整,,1,,"30,4","39,35","33,64","25,82",169,,,,,,,,,,,,,
79,2000,HD,T31,M54,010,XG8,,深6.62米,狗,左,尺骨,近端,愈合,1,,,,,,,,,,,,,,,,,,,
80,2000,HD,T31,M54,010,XG8,,深6.62米,狗,右,尺骨,近端,愈合,1,,,,,,,,,,,,,,,,,,,
81,2000,HD,T31,M54,010,XG8,,深6.62米,狗,左,桡骨,完整,,1,,"17,84","12,23","24,96","13,8",162,,,,,,,,,,,,,
82,2000,HD,T31,M54,010,XG8,,深6.62米,狗,右,桡骨,近端,,1,,,,,,,,,,,,,,,,,,,
83,2000,HD,T31,M54,010,XG8,,深6.62米,狗,右,股骨,近端残,,1,,,,,,,,,,,,,,,,,,,
84,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,股骨,远端碎块,,2,,,,,,,,,,,,,,,,,,,
85,2000,HD,T31,M54,010,XG8,,深6.62米,狗,右,胫骨,基本完整,,1,,"33,88",,"23,39","16,87",179,,,,,,,,,,,,,
86,2000,HD,T31,M54,010,XG8,,深6.62米,狗,左,肩胛骨,,,1,,"29,21","18,39",,,,,,,,,,,,,,,,
87,2000,HD,T31,M54,010,XG8,,深6.62米,狗,一付,跟骨,,,1,,"45,4","19,2","16,16",,,,,,,,,,,,,,,
88,2000,HD,T31,M54,010,XG8,,深6.62米,狗,一付,距骨,,,1,,"26,7","17,37",,,,,,,,,,,,,,,,
89,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,掌骨或跖骨,,,12,,,,,,,,,,,,,,,,,,,
90,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,尾椎,,,4,,,,,,,,,,,,,,,,,,,
91,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,第1节趾骨,,,1,,,,,,,,,,,,,,,,,,,
92,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,肋骨,,,4,,,,,,,,,,,,,,,,,,,
93,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,脊椎,,,5,,,,,,,,,,,,,,,,,,,
94,2000,HD,T31,M54,010,XG8,,深6.62米,狗,右,下颌骨,碎块,,1,"P2孔+M1,P3\P4处下颌骨愈合","22,37","9,15",,,,,,,,,,,,,,,,
95,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,右,肱骨,近端,残,1,,,,,,,,,,,,,,,,,,,
96,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,右,尺骨,远端,略残,1,,,,,,,,,,,,,,,,,,,
97,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,,桡骨,骨干,,1,,,,,,,,,,,,,,,,,,,
98,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,一付,股骨,远端,,1,,"31,07","31,37",,,,,,,,,,,,,,,,
99,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,一付,胫骨,完整,,1,,"33,3","32,39","21,55","16,19",178,,,,,,,,,,,,,
100,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,,腓骨,骨干,,1,,,,,,,,,,,,,,,,,,,
101,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,右,肩胛骨,,,1,,"28,83","17,82",,,,,,,,,,,,,,,,
102,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,一付,跟骨,,,1,,"44,18","18,09","16,54",,,,,,,,,,,,,,,
103,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,一付,距骨,,,1,,"26,64","18,63",,,,,,,,,,,,,,,,
104,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,,髌骨,,,1,,,,,,,,,,,,,,,,,,,
105,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,一付,掌骨,完整,,1,左右各一付,,,,,,,,,,,,,,,,,,
106,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,一付,跖骨,完整,,1,左右各一付,,,,,,,,,,,,,,,,,,
107,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,,脊椎,,,9,,,,,,,,,,,,,,,,,,,
108,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,,肋骨,碎块,,11,,,,,,,,,,,,,,,,,,,
109,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,,第1节趾骨,,,7,,,,,,,,,,,,,,,,,,,
110,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,,第2节趾骨,,,4,,,,,,,,,,,,,,,,,,,
111,2000,HD,T31,M54,12,XG10,,,狗,右,肱骨,近端,,1,,"26,92","35,35",,,,,,,,,,,,,,,,
112,2000,HD,T31,M54,12,XG10,,,狗,右,股骨,近端,,1,,"31,75","16,87",,,,,,,,,,,,,,,,
113,2000,HD,T31,M54,12,XG10,,,狗,左,股骨,远端,,1,,"27,34","30,63",,,,,,,,,,,,,,,,
114,2000,HD,T31,M54,12,XG10,,,狗,右,股骨,远端,,1,,,,,,,,,,,,,,,,,,,
1,2000,HD,T31,M54,03,XG2,,深4.3米,狗,右,肱骨,近端略残，远端残,近端愈合,1,,,"37,94",,,,,,,,,,,,,,,,
2,2000,HD,T31,M54,03,XG2,,深4.3米,狗,右,桡骨,完整,,1,,"17,63","12,12","23,82","14,31",161,,,,,,,,,,,,,
3,2000,HD,T31,M54,03,XG2,,深4.3米,狗,左,桡骨,远端,,1,,,,,,,,,,,,,,,,,,,
4,2000,HD,T31,M54,03,XG2,,深4.3米,狗,左,尺骨,远端残,愈合,1,,,,,,,,,,,,,,,,,,,
5,2000,HD,T31,M54,03,XG2,,深4.3米,狗,右,尺骨,远端残,愈合,1,,,,,,,,,,,,,,,,,,,
6,2000,HD,T31,M54,03,XG2,,深4.3米,狗,左,股骨,两端残，基本完整,,1,,,,,,180,,,,,,,,,,,,,
7,2000,HD,T31,M54,03,XG2,,深4.3米,狗,右,股骨,远端,,1,,,,"31,97","32,42",,,,,,,,,,,,,,
8,2000,HD,T31,M54,03,XG2,,深4.3米,狗,左,肩胛骨,,,1,,"29,55","19,01",,,,,,,,,,,,,,,,
9,2000,HD,T31,M54,03,XG2,,深4.3米,狗,右,肩胛骨,,,1,,,,,,,,,,,,,,,,,,,
10,2000,HD,T31,M54,03,XG2,,深4.3米,狗,左,盆骨,基本完整,,1,,,,,,,,,,,,,,,,,,,
11,2000,HD,T31,M54,03,XG2,,深4.3米,狗,右,盆骨,髂骨+髋臼,,1,,,,,,,,,,,,,,,,,,,
12,2000,HD,T31,M54,03,XG2,,深4.3米,狗,,掌骨或跖骨,,愈合,2,,,,,,,,,,,,,,,,,,,
13,2000,HD,T31,M54,03,XG2,,深4.3米,狗,,骶骨,,,1,,,,,,,,,,,,,,,,,,,
14,2000,HD,T31,M54,03,XG2,,深4.3米,狗,,尾椎,,,1,,,,,,,,,,,,,,,,,,,
15,2000,HD,T31,M54,03,XG2,,深4.3米,狗,,脊椎,,,17,,,,,,,,,,,,,,,,,,,
16,2000,HD,T31,M54,03,XG2,,深4.3米,狗,,肋骨,,,10,,,,,,,,,,,,,,,,,,,
17,2000,HD,T31,M54,03,XG2,,深4.3米,狗,,阴茎骨,,,1,雄性,,,,,,,,,,,,,,,,,,
115,2000,HD,T31,M54,12,XG10,,,狗,左,胫骨,近端,残,1,,,,,,,,,,,,,,,,,,,
116,2000,HD,T31,M54,12,XG10,,,狗,右,胫骨,近端,,1,,"30,39","29,65",,,,,,,,,,,,,,,,
117,2000,HD,T31,M54,12,XG10,,,狗,左,跟骨,,,1,,"42,19","17,28","16,79",,,,,,,,,,,,,,,
118,2000,HD,T31,M54,12,XG10,,,狗,,掌骨或跖骨,,,7,,,,,,,,,,,,,,,,,,,
119,2000,HD,T31,M54,12,XG10,,,狗,,第1节趾骨,,,5,,,,,,,,,,,,,,,,,,,
120,2000,HD,T31,M54,12,XG10,,,狗,,第2节趾骨,,,2,,,,,,,,,,,,,,,,,,,
121,2000,HD,T31,M54,12,XG10,,,狗,,髌骨,,,1,,,,,,,,,,,,,,,,,,,
122,2000,HD,T31,M54,12,XG10,,,狗,左,下颌骨,,,1,"保留C孔-M3孔,牙齿保留C+P3-M1","19,86","7,89",,,,,,,"69,29","63,67","30,84","38,32","32,95","19,87","18,38",,"19,03","24,71"
123,2000,HD,T31,M54,12,XG10,,,狗,左,上颌骨,,,1,I3+C,,,,,,,,,,,,,,,,,,
124,2000,HD,T31,M54,12,XG10,,,狗,右,下颌骨,,,1,M1+M2,,,,,,,,,,,,,,,,,,
125,2000,HD,T31,M54,12,XG10,,,狗,右,上颌骨,,,1,C+M1,11,"13,81",,,,,,,,,,,,,,,,
126,2000,HD,T31,M54,12,XG10,,,狗,,盆骨,髂骨碎块,,1,,,,,,,,,,,,,,,,,,,
127,2000,HD,T31,M54,011,XG9,,深6.62米,狗,左,肱骨,近端,,1,,"29,65","38,16",,,,,,,,,,,,,,,,
128,2000,HD,T31,M54,011,XG9,,深6.62米,狗,左,肱骨,远端,,1,,,,,,,,,,,,,,,,,,,
129,2000,HD,T31,M54,011,XG9,,深6.62米,狗,右,肱骨,远端,,1,,"32,04","24,77",,,,,,,,,,,,,,,,
130,2000,HD,T31,M54,011,XG9,,深6.62米,狗,右,尺骨,完整,,1,,,,,,187,,,,,,,,,,,,,
131,2000,HD,T31,M54,011,XG9,,深6.62米,狗,左,尺骨,近端,残,1,,,,,,,,,,,,,,,,,,,
132,2000,HD,T31,M54,011,XG9,,深6.62米,狗,左,桡骨,远端,,1,,,,,,,,,,,,,,,,,,,
133,2000,HD,T31,M54,011,XG9,,深6.62米,狗,右,桡骨,完整,,1,,"17,36","11,95","23,68","13,4",162,,,,,,,,,,,,,
134,2000,HD,T31,M54,011,XG9,,深6.62米,狗,左,胫骨,远端,,1,,,,,,,,,,,,,,,,,,,
135,2000,HD,T31,M54,011,XG9,,深6.62米,狗,,股骨,远端,残,1,,,,,,,,,,,,,,,,,,,
136,2000,HD,T31,M54,011,XG9,,深6.62米,狗,,腓骨,骨干,,1,,,,,,,,,,,,,,,,,,,
137,2000,HD,T31,M54,011,XG9,,深6.62米,狗,右,胫骨,完整,,1,,,"30,2","22,39","16,02",,,,,,,,,,,,,,
138,2000,HD,T31,M54,011,XG9,,深6.62米,狗,左,盆骨,基本完整,,1,,,,,,,,,,,,,,,,,,,
139,2000,HD,T31,M54,011,XG9,,深6.62米,狗,,肋骨,碎块,,4,,,,,,,,,,,,,,,,,,,
140,2000,HD,T31,M54,011,XG9,,深6.62米,狗,,脊椎,,,8,,,,,,,,,,,,,,,,,,,
141,2000,HD,T31,M54,011,XG9,,深6.62米,狗,,掌骨或跖骨,,,8,,,,,,,,,,,,,,,,,,,
142,2000,HD,T31,M54,011,XG9,,深6.62米,狗,,第1节趾骨,,,6,,,,,,,,,,,,,,,,,,,
143,2000,HD,T31,M54,011,XG9,,深6.62米,狗,,第2节趾骨,,,3,,,,,,,,,,,,,,,,,,,
144,2000,HD,T31,M54,011,XG9,,深6.62米,狗,,第3节趾骨,,,1,,,,,,,,,,,,,,,,,,,
145,2000,HD,T31,M54,011,XG9,,深6.62米,狗,,尾椎,,,4,,,,,,,,,,,,,,,,,,,
146,2000,HD,T31,M54,011,XG9,,深6.62米,狗,,髌骨,,,1,,,,,,,,,,,,,,,,,,,
147,2000,HD,T31,M54,011,XG9,,深6.62米,狗,左,跟骨,,,1,,"43,15","17,05","17,4",,,,,,,,,,,,,,,
148,2000,HD,T31,M54,011,XG9,,深6.62米,狗,一付,距骨,,,1,,"25,8","16,29",,,,,,,,,,,,,,,,
149,2000,HD,T31,M54,011,XG9,,深6.62米,狗,左,下颌骨,,,1,I1-C+P2+P3,,,,,,,,,,,,,,,,,,
150,2000,HD,T31,M54,011,XG9,,深6.62米,狗,右,下颌骨,,,1,P4-M2,"19,58","8,98","8,1","6,52",,,,,,,,,,,,,,
151,2000,HD,T31,M54,011,XG9,,深6.62米,狗,右,上颌骨,,,1,P4+M1,"12,05","14,88",,,"18,91","9,5",,,,,,,,,,,,
152,2000,HD,T31,M54,06/07,XG3/XG5,填土,深4.1米,狗,右,肱骨,近端,,1,,"30,75","40,17",,,,,,,,,,,,,,,,
153,2000,HD,T31,M54,06/07,XG3/XG5,填土,深4.1米,狗,左,桡骨,近端,,1,,"18,52","12,26",,,,,,,,,,,,,,,,
154,2000,HD,T31,M54,06/07,XG3/XG5,填土,深4.1米,狗,左,股骨,近端,,1,,,,,,,,,,,,,,,,,,,
155,2000,HD,T31,M54,06/07,XG3/XG5,填土,深4.1米,狗,左,胫骨,近端,,1,,"34,15","33,7",,,,,,,,,,,,,,,,
156,2000,HD,T31,M54,06/07,XG3/XG5,填土,深4.1米,狗,左,肩胛骨,,,1,,"31,92","18,4",,,,,,,,,,,,,,,,
157,2000,HD,T31,M54,06/07,XG3/XG5,填土,深4.1米,狗,,尺骨,骨干,,1,,,,,,,,,,,,,,,,,,,
158,2000,HD,T31,M54,06/07,XG3/XG5,填土,深4.1米,狗,左,盆骨,基本完整,,1,,,,,,,,,,,,,,,,,,,
159,2000,HD,T31,M54,06/07,XG3/XG5,填土,深4.1米,狗,右,盆骨,髋臼,,1,,,,,,,,,,,,,,,,,,,
160,2000,HD,T31,M54,06/07,XG3/XG5,填土,深4.1米,狗,,掌骨或跖骨,,,4,,,,,,,,,,,,,,,,,,,
161,2000,HD,T31,M54,06/07,XG3/XG5,填土,深4.1米,狗,,第1节趾骨,,,1,,,,,,,,,,,,,,,,,,,
18,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,一付,肱骨,完整,,1,,"26,53","35,25","27,91",21,"147,78",,,,,,,,,,,,,
19,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,左,桡骨,完整,,1,,"16,25","11,03","20,73","11,79","148,1",,,,,,,,,,,,,
20,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,右,桡骨,远端残,,1,,,,,,,,,,,,,,,,,,,
21,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,右,尺骨,远端残,愈合,1,,,,,,,,,,,,,,,,,,,
22,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,一付,股骨,完整,,1,,"34,94","16,53","27,54","29,2",163,,,,,,,,,,,,,
23,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,一付,胫骨,完整,,1,,"29,91","30,44","19,95","15,12",161,,,,,,,,,,,,,
24,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,右,肩胛骨,,,1,,"25,9","16,96",,,,,,,,,,,,,,,,
25,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,一付,腓骨,完整,,1,,,,,,"148,23",,,,,,,,,,,,,
26,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,右,盆骨,髋臼+坐骨,,1,,,,,,,,,,,,,,,,,,,
27,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,左,盆骨,髋臼+坐骨+耻骨,,1,,,,,,,,,,,,,,,,,,,
28,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,,阴茎骨,,,1,,,,,,,,,,,,,,,,,,,
29,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,右,距骨,,,1,,,"13,78",,,,,,,,,,,,,,,,
30,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,左,掌骨,,,1,一付，共4件,,,,,,,,,,,,,,,,,,
31,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,右,掌骨,,,1,一付，共4件,,,,,,,,,,,,,,,,,,
32,2000,HD,T31,M54,02,XG1,,距地表2.15米,狗,左,跖骨,,,1,一付，共4件,,,,,,,,,,,,,,,,,,
